id,data,cidade_origem,uf_origem,base_origem,nf,valor_da_nota,volumes,peso_real,peso_cubado,cidade_destino,uf_destino,base,setor,frete_peso,seguro,total_frete,vendedor,cliente,data_inclusao
137579,2024-01-01,"São Paulo",SP,SAO,1020,3088.42,42,52.97,0.0,"SAO VICENTE",SP,SPO,TLG,173.7051,9.26526,182.97036,"Agustinho Ormeneze",Hiroshima,
137580,2024-01-01,"São Paulo",SP,SAO,1020,1643.88,24,27.72,0.0,CARAGUATATUBA,SP,SPO,DVT,143.3195,4.93164,148.25114,"Agustinho Ormeneze",Hiroshima,
137581,2024-01-01,"São Paulo",SP,SAO,1020,2320.54,49,61.77,0.0,CASTRO,PR,PGZ,CAS,242.032277,6.96162,248.993897,"Agustinho Ormeneze",Hiroshima,
137582,2024-01-01,"São Paulo",SP,SAO,1020,1938.7,17,37.73,0.0,NAO-ME-TOQUE,RS,RGS,SLD,298.696558,5.8161,304.512658,"Agustinho Ormeneze",Hiroshima,
137583,2024-01-01,"São Paulo",SP,SAO,1020,1816.13,33,36.02,0.0,BIGUACU,SC,FLN,504,167.94286,5.44839,173.39125,"Agustinho Ormeneze",Hiroshima,
137584,2024-01-01,"São Paulo",SP,SAO,1020,2107.64,24,34.05,0.0,PINDAMONHANGABA,SP,SPO,DOC,158.8298,6.32292,165.15272,"Agustinho Ormeneze",Hiroshima,
137585,2024-01-01,"São Paulo",SP,SAO,1020,883.62,19,28.05,0.0,"SANTO ANTONIO DA PATRULHA",RS,RGS,POA,230.006992,2.65086,232.657852,"Agustinho Ormeneze",Hiroshima,
137586,2024-01-01,"São Paulo",SP,SAO,1020,1134.89,19,23.32,0.0,CANGUCU,RS,RGS,PET,212.640412,3.40467,216.045082,"Agustinho Ormeneze",Hiroshima,
137587,2024-01-01,"São Paulo",SP,SAO,1020,2785.16,58,71.84,0.0,MARINGA,PR,MGF,URB,236.824559,8.35548,245.180039,"Agustinho Ormeneze",Hiroshima,
137588,2024-01-01,"São Paulo",SP,SAO,1020,5507.63,68,88.31,0.0,TAUBATE,SP,SPO,DOC,361.4896,16.52289,378.01249,"Agustinho Ormeneze",Hiroshima,
137589,2024-01-01,"São Paulo",SP,SAO,1020,1857.68,33,44.79,0.0,CANOAS,RS,POA,URB,414.798808,5.57304,420.371848,"Agustinho Ormeneze",Hiroshima,
137590,2024-01-01,"São Paulo",SP,SAO,1020,3832.58,59,94.17,0.0,CASCAVEL,PR,CAC,URB,329.905032,11.49774,341.402772,"Agustinho Ormeneze",Hiroshima,
137591,2024-01-01,"São Paulo",SP,SAO,1020,4499.09,80,108.72,0.0,ARAPONGAS,PR,LDB,ARA,347.75406,13.49727,361.25133,"Agustinho Ormeneze",Hiroshima,
137592,2024-01-01,"São Paulo",SP,SAO,1020,665.22,12,15.02,0.0,HARMONIA,RS,RGS,CXJ,143.62672,1.99566,145.62238,"Agustinho Ormeneze",Hiroshima,
137593,2024-01-01,"São Paulo",SP,SAO,1020,2968.54,63,66.38,0.0,TURVO,SC,CCM,ARA,341.11026,8.90562,350.01588,"Agustinho Ormeneze",Hiroshima,
137594,2024-01-01,"São Paulo",SP,SAO,1020,5255.8,124,139.56,0.0,CURITIBA,PR,CWB,URB,402.681881,15.7674,418.449281,"Agustinho Ormeneze",Hiroshima,
137595,2024-01-01,"São Paulo",SP,SAO,1020,3926.81,57,102.56,0.0,PARANAGUA,PR,CWB,PAR,296.213517,11.78043,307.993947,"Agustinho Ormeneze",Hiroshima,
137596,2024-01-01,"São Paulo",SP,SAO,1020,2430.32,33,44.97,0.0,"SAO JOSE DOS CAMPOS",SP,SPO,DOC,187.5518,7.29096,194.84276,"Agustinho Ormeneze",Hiroshima,
137597,2024-01-01,"São Paulo",SP,SAO,1020,2572.79,38,55.21,0.0,MEDIANEIRA,PR,CSC,CSC,220.912012,7.71837,228.630382,"Agustinho Ormeneze",Hiroshima,
137598,2024-01-01,"São Paulo",SP,SAO,1020,2612.12,57,66.3,0.0,UBIRATA,PR,CAC,UBI,280.029092,7.83636,287.865452,"Agustinho Ormeneze",Hiroshima,
137599,2024-01-01,"São Paulo",SP,SAO,1020,2398.32,33,46.03,0.0,CRUZEIRO,SP,SPO,DVT,191.8051,7.19496,199.00006,"Agustinho Ormeneze",Hiroshima,
137600,2024-01-01,"São Paulo",SP,SAO,1020,5077.1,98,117.45,0.0,CURITIBA,PR,CWB,URB,350.754005,15.2313,365.985305,"Agustinho Ormeneze",Hiroshima,
137601,2024-01-01,"São Paulo",SP,SAO,1020,2413.71,29,43.87,0.0,BAGE,RS,RGS,PET,331.285378,7.24113,338.526508,"Agustinho Ormeneze",Hiroshima,
